method,rho,fdr,power,score
m-X-knockoff,0.0,0.16666666666666666,1.0,0.6750440257932617
m-X-knockoff,0.1,0.21311475409836064,0.96,0.6785546839733756
m-X-knockoff,0.3,0.09433962264150944,0.96,0.6888771756256816
m-X-knockoff,0.5,0.17647058823529413,0.84,0.6148715005812444
m-X-knockoff,0.7,0.03333333333333333,0.58,0.5481233133131358
m-X-knockoff,0.9,0.0,0.0,0.6097680319256269
CPI-knockoff,0.0,0.1935483870967742,1.0,0.6291008836194472
CPI-knockoff,0.1,0.21875,1.0,0.5597529890865414
CPI-knockoff,0.3,0.07547169811320754,0.98,0.6024390029232707
CPI-knockoff,0.5,0.14545454545454545,0.94,0.6540818607571497
CPI-knockoff,0.7,0.17647058823529413,0.84,0.6302534791838759
CPI-knockoff,0.9,0.0,0.0,0.7125674422201953
CPI-LS-knockoff,0.0,0.1935483870967742,1.0,0.6291008836194472
CPI-LS-knockoff,0.1,0.21875,1.0,0.5597529890865414
CPI-LS-knockoff,0.3,0.07547169811320754,0.98,0.6024390029232707
CPI-LS-knockoff,0.5,0.14545454545454545,0.94,0.6540818607571497
CPI-LS-knockoff,0.7,0.17647058823529413,0.84,0.6302534791838759
CPI-LS-knockoff,0.9,0.0,0.0,0.7125674422201953
m-X-knockoff,0.0,0.1694915254237288,0.98,0.6644834148601935
m-X-knockoff,0.1,0.10714285714285714,1.0,0.6878377948277502
m-X-knockoff,0.3,0.19672131147540983,0.98,0.6767792612239762
m-X-knockoff,0.5,0.12727272727272726,0.96,0.6676852976804116
m-X-knockoff,0.7,0.10638297872340426,0.84,0.5702840686190597
m-X-knockoff,0.9,0.0,0.0,0.6088985839931449
CPI-knockoff,0.0,0.38271604938271603,1.0,0.5400009705795042
CPI-knockoff,0.1,0.23076923076923078,1.0,0.566867859247942
CPI-knockoff,0.3,0.24242424242424243,1.0,0.5856376216486957
CPI-knockoff,0.5,0.16666666666666666,1.0,0.5854531158804618
CPI-knockoff,0.7,0.0,0.82,0.6078806987362952
CPI-knockoff,0.9,0.15789473684210525,0.32,0.6952628929552466
CPI-LS-knockoff,0.0,0.38271604938271603,1.0,0.5400009705795042
CPI-LS-knockoff,0.1,0.23076923076923078,1.0,0.566867859247942
CPI-LS-knockoff,0.3,0.24242424242424243,1.0,0.5856376216486957
CPI-LS-knockoff,0.5,0.16666666666666666,1.0,0.5854531158804618
CPI-LS-knockoff,0.7,0.0,0.82,0.6078806987362952
CPI-LS-knockoff,0.9,0.15789473684210525,0.32,0.6952628929552466
m-X-knockoff,0.0,0.05660377358490566,1.0,0.6524529115256958
m-X-knockoff,0.1,0.24615384615384617,0.98,0.6757380156348713
m-X-knockoff,0.3,0.27941176470588236,0.98,0.6297298544179236
m-X-knockoff,0.5,0.11764705882352941,0.9,0.5210118882872299
m-X-knockoff,0.7,0.023809523809523808,0.82,0.5979348030835094
m-X-knockoff,0.9,0.0,0.0,0.6379723416270882
CPI-knockoff,0.0,0.23076923076923078,1.0,0.5896054803516796
CPI-knockoff,0.1,0.34210526315789475,1.0,0.591610250307516
CPI-knockoff,0.3,0.1935483870967742,1.0,0.6240811333556562
CPI-knockoff,0.5,0.45054945054945056,1.0,0.6137575627880951
CPI-knockoff,0.7,0.26666666666666666,0.88,0.6081691019780072
CPI-knockoff,0.9,0.2,0.08,0.6772431253305216
CPI-LS-knockoff,0.0,0.23076923076923078,1.0,0.5896054803516796
CPI-LS-knockoff,0.1,0.34210526315789475,1.0,0.591610250307516
CPI-LS-knockoff,0.3,0.1935483870967742,1.0,0.6240811333556562
CPI-LS-knockoff,0.5,0.45054945054945056,1.0,0.6137575627880951
CPI-LS-knockoff,0.7,0.26666666666666666,0.88,0.6081691019780072
CPI-LS-knockoff,0.9,0.2,0.08,0.6772431253305216
m-X-knockoff,0.0,0.057692307692307696,0.98,0.6845908900954607
m-X-knockoff,0.1,0.16666666666666666,1.0,0.623081201734039
m-X-knockoff,0.3,0.125,0.98,0.6616399970407582
m-X-knockoff,0.5,0.2,0.96,0.6113134960068604
m-X-knockoff,0.7,0.1111111111111111,0.8,0.6199361931127512
m-X-knockoff,0.9,0.0,0.0,0.6306454930090637
CPI-knockoff,0.0,0.3333333333333333,1.0,0.6022089804586308
CPI-knockoff,0.1,0.2857142857142857,1.0,0.6181306602340113
CPI-knockoff,0.3,0.10909090909090909,0.98,0.618163449970804
CPI-knockoff,0.5,0.19672131147540983,0.98,0.5825164808689536
CPI-knockoff,0.7,0.2459016393442623,0.92,0.6573509425407822
CPI-knockoff,0.9,0.0,0.0,0.6926504098168104
CPI-LS-knockoff,0.0,0.3333333333333333,1.0,0.6022089804586308
CPI-LS-knockoff,0.1,0.2857142857142857,1.0,0.6181306602340113
CPI-LS-knockoff,0.3,0.10909090909090909,0.98,0.618163449970804
CPI-LS-knockoff,0.5,0.19672131147540983,0.98,0.5825164808689536
CPI-LS-knockoff,0.7,0.2459016393442623,0.92,0.6573509425407822
CPI-LS-knockoff,0.9,0.0,0.0,0.6926504098168104
m-X-knockoff,0.0,0.23076923076923078,1.0,0.688415300413378
m-X-knockoff,0.1,0.09090909090909091,1.0,0.6689926535208033
m-X-knockoff,0.3,0.0784313725490196,0.94,0.6744157130523003
m-X-knockoff,0.5,0.09433962264150944,0.96,0.6893079137347325
m-X-knockoff,0.7,0.0,0.64,0.6066437327746248
m-X-knockoff,0.9,0.0,0.0,0.6651028614058131
CPI-knockoff,0.0,0.10714285714285714,1.0,0.55530408792194
CPI-knockoff,0.1,0.35064935064935066,1.0,0.582443734720914
CPI-knockoff,0.3,0.40476190476190477,1.0,0.6134564887377005
CPI-knockoff,0.5,0.16071428571428573,0.94,0.5747263158882892
CPI-knockoff,0.7,0.26229508196721313,0.9,0.6269463231142951
CPI-knockoff,0.9,0.0,0.0,0.6914121838889533
CPI-LS-knockoff,0.0,0.10714285714285714,1.0,0.55530408792194
CPI-LS-knockoff,0.1,0.35064935064935066,1.0,0.582443734720914
CPI-LS-knockoff,0.3,0.40476190476190477,1.0,0.6134564887377005
CPI-LS-knockoff,0.5,0.16071428571428573,0.94,0.5747263158882892
CPI-LS-knockoff,0.7,0.26229508196721313,0.9,0.6269463231142951
CPI-LS-knockoff,0.9,0.0,0.0,0.6914121838889533
m-X-knockoff,0.0,0.15254237288135594,1.0,0.688716218535979
m-X-knockoff,0.1,0.09090909090909091,1.0,0.665104437337973
m-X-knockoff,0.3,0.10909090909090909,0.98,0.6621218519382075
m-X-knockoff,0.5,0.15789473684210525,0.96,0.6452426946674499
m-X-knockoff,0.7,0.08888888888888889,0.82,0.6033074003857668
m-X-knockoff,0.9,0.0,0.0,0.5894040809511766
CPI-knockoff,0.0,0.2537313432835821,1.0,0.6075741552530431
CPI-knockoff,0.1,0.1935483870967742,1.0,0.6238247783197691
CPI-knockoff,0.3,0.3333333333333333,1.0,0.6158456964670418
CPI-knockoff,0.5,0.24242424242424243,1.0,0.6320126044452891
CPI-knockoff,0.7,0.16071428571428573,0.94,0.6188924363123031
CPI-knockoff,0.9,0.08333333333333333,0.22,0.7032617968172554
CPI-LS-knockoff,0.0,0.2537313432835821,1.0,0.6075741552530431
CPI-LS-knockoff,0.1,0.1935483870967742,1.0,0.6238247783197691
CPI-LS-knockoff,0.3,0.3333333333333333,1.0,0.6158456964670418
CPI-LS-knockoff,0.5,0.24242424242424243,1.0,0.6320126044452891
CPI-LS-knockoff,0.7,0.16071428571428573,0.94,0.6188924363123031
CPI-LS-knockoff,0.9,0.08333333333333333,0.22,0.7032617968172554
m-X-knockoff,0.0,0.2537313432835821,1.0,0.6789237454523296
m-X-knockoff,0.1,0.15254237288135594,1.0,0.6541623414354176
m-X-knockoff,0.3,0.18333333333333332,0.98,0.6887611602567769
m-X-knockoff,0.5,0.1694915254237288,0.98,0.635467529715555
m-X-knockoff,0.7,0.10416666666666667,0.86,0.66673316066465
m-X-knockoff,0.9,0.0,0.0,0.6266927571286456
CPI-knockoff,0.0,0.18032786885245902,1.0,0.6194622996861349
CPI-knockoff,0.1,0.16666666666666666,1.0,0.6295694833893608
CPI-knockoff,0.3,0.0392156862745098,0.98,0.6556210410058998
CPI-knockoff,0.5,0.09090909090909091,1.0,0.6920562367933569
CPI-knockoff,0.7,0.0,0.88,0.6601693758044991
CPI-knockoff,0.9,0.1875,0.26,0.7185822427109395
CPI-LS-knockoff,0.0,0.18032786885245902,1.0,0.6194622996861349
CPI-LS-knockoff,0.1,0.16666666666666666,1.0,0.6295694833893608
CPI-LS-knockoff,0.3,0.0392156862745098,0.98,0.6556210410058998
CPI-LS-knockoff,0.5,0.09090909090909091,1.0,0.6920562367933569
CPI-LS-knockoff,0.7,0.0,0.88,0.6601693758044991
CPI-LS-knockoff,0.9,0.1875,0.26,0.7185822427109395
m-X-knockoff,0.0,0.07547169811320754,0.98,0.6586590853025571
m-X-knockoff,0.1,0.14035087719298245,0.98,0.668948951428591
m-X-knockoff,0.3,0.10909090909090909,0.98,0.6779293890422632
m-X-knockoff,0.5,0.17857142857142858,0.92,0.6959682299786194
m-X-knockoff,0.7,0.027777777777777776,0.7,0.6310337181432828
m-X-knockoff,0.9,0.0,0.0,0.6781285635116376
CPI-knockoff,0.0,0.10909090909090909,0.98,0.5616313114686287
CPI-knockoff,0.1,0.23076923076923078,1.0,0.6193171942242818
CPI-knockoff,0.3,0.10714285714285714,1.0,0.5848713624570635
CPI-knockoff,0.5,0.125,0.98,0.6267751700318908
CPI-knockoff,0.7,0.12962962962962962,0.94,0.5894447479801028
CPI-knockoff,0.9,0.0,0.0,0.630943144446946
CPI-LS-knockoff,0.0,0.10909090909090909,0.98,0.5616313114686287
CPI-LS-knockoff,0.1,0.23076923076923078,1.0,0.6193171942242818
CPI-LS-knockoff,0.3,0.10714285714285714,1.0,0.5848713624570635
CPI-LS-knockoff,0.5,0.125,0.98,0.6267751700318908
CPI-LS-knockoff,0.7,0.12962962962962962,0.94,0.5894447479801028
CPI-LS-knockoff,0.9,0.0,0.0,0.630943144446946
m-X-knockoff,0.0,0.07407407407407407,1.0,0.6631415744313236
m-X-knockoff,0.1,0.038461538461538464,1.0,0.6344441238272401
m-X-knockoff,0.3,0.058823529411764705,0.96,0.6537962342587431
m-X-knockoff,0.5,0.0625,0.9,0.6608590188066994
m-X-knockoff,0.7,0.05,0.76,0.6045353036269046
m-X-knockoff,0.9,0.0,0.0,0.6273368052150714
CPI-knockoff,0.0,0.12280701754385964,1.0,0.5541246516666479
CPI-knockoff,0.1,0.12280701754385964,1.0,0.592946816736438
CPI-knockoff,0.3,0.23076923076923078,1.0,0.6017980949965467
CPI-knockoff,0.5,0.19672131147540983,0.98,0.6417042121885196
CPI-knockoff,0.7,0.34328358208955223,0.88,0.6408641057179196
CPI-knockoff,0.9,0.25,0.12,0.7253387986862279
CPI-LS-knockoff,0.0,0.12280701754385964,1.0,0.5541246516666479
CPI-LS-knockoff,0.1,0.12280701754385964,1.0,0.592946816736438
CPI-LS-knockoff,0.3,0.23076923076923078,1.0,0.6017980949965467
CPI-LS-knockoff,0.5,0.19672131147540983,0.98,0.6417042121885196
CPI-LS-knockoff,0.7,0.34328358208955223,0.88,0.6408641057179196
CPI-LS-knockoff,0.9,0.25,0.12,0.7253387986862279
m-X-knockoff,0.0,0.05660377358490566,1.0,0.6920081637163549
m-X-knockoff,0.1,0.125,0.98,0.6681021997430016
m-X-knockoff,0.3,0.07547169811320754,0.98,0.6352212672994872
m-X-knockoff,0.5,0.061224489795918366,0.92,0.6449372092671686
m-X-knockoff,0.7,0.06521739130434782,0.86,0.6590927764970298
m-X-knockoff,0.9,0.0,0.0,0.6290518066772917
CPI-knockoff,0.0,0.09090909090909091,1.0,0.5575841021478506
CPI-knockoff,0.1,0.20634920634920634,1.0,0.6525949810556035
CPI-knockoff,0.3,0.15517241379310345,0.98,0.6301968140211248
CPI-knockoff,0.5,0.14545454545454545,0.94,0.6149401346840221
CPI-knockoff,0.7,0.2698412698412698,0.92,0.6482790976086081
CPI-knockoff,0.9,0.0,0.0,0.6749634007836094
CPI-LS-knockoff,0.0,0.09090909090909091,1.0,0.5575841021478506
CPI-LS-knockoff,0.1,0.20634920634920634,1.0,0.6525949810556035
CPI-LS-knockoff,0.3,0.15517241379310345,0.98,0.6301968140211248
CPI-LS-knockoff,0.5,0.14545454545454545,0.94,0.6149401346840221
CPI-LS-knockoff,0.7,0.2698412698412698,0.92,0.6482790976086081
CPI-LS-knockoff,0.9,0.0,0.0,0.6749634007836094
